recording_id,scientific_name,status,issue_count,issue_no_species,issue_no_english_name,issue_no_audio_file,issue_no_duration,issue_no_date,issue_no_time,issue_no_country,issue_no_latitude,issue_no_longitude,issue_no_coordinates,issue_no_quality,issue_scrape_failed
XC216373,Setophaga striata,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC216509,Scolopax minor,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC216516,Scolopax minor,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC216657,Falco sparverius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC216663,Amphispiza bilineata,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC216779,Vireo solitarius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC216784,Vireo solitarius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC216787,Vireo solitarius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217005,Spinus tristis,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217024,Passerina caerulea,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217037,Buteo platypterus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217039,Buteo platypterus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217046,Passerina caerulea,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217053,Buteo platypterus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217139,Artemisiospiza belli,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217753,Icterus galbula,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217762,Euphagus cyanocephalus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217766,Scolopax minor,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217781,Scolopax minor,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217783,Icterus galbula,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217784,Icterus galbula,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217786,Icterus galbula,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217792,Scolopax minor,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217796,Icterus galbula,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217799,Icterus galbula,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217801,Scolopax minor,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217802,Icterus galbula,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217803,Icterus galbula,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217804,Icterus galbula,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217806,Icterus galbula,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217808,Icterus galbula,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217809,Icterus galbula,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217811,Icterus galbula,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217815,Scolopax minor,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217817,Scolopax minor,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217819,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217823,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217824,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217827,Spizella breweri,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217829,Scolopax minor,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217831,Scolopax minor,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217832,Scolopax minor,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217833,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217834,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217835,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217839,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217841,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217843,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
