epoch,train_loss,train_acc,val_loss,val_acc,val_top5,lr,time
11,0.01215914397043577,90.4875043998592,0.00892784369101676,90.81194342587742,96.72079622839183,0.0009462594179299406,1051.7792830467224
12,0.012114682902324526,91.22686009255963,0.008650374083999712,91.41959140911472,96.82032477737035,0.0009302007896300697,948.7956230640411
13,0.011686517800553598,92.37132352941177,0.008472038019944601,91.94866422210582,97.05605028810896,0.0009122207801708802,647.966983795166
14,0.011574782233886676,93.35417416336811,0.00851852846233614,92.70298585646935,97.64798323729701,0.0008923996926393305,612.205712556839
15,0.011334472753941338,93.8953488372093,0.00834444624495067,93.57255107386067,97.4908328968046,0.0008708260528239789,774.8903589248657
16,0.011106544769065762,94.42846872753415,0.008245569814879516,93.73493975903614,97.8103719224725,0.0008475962138373213,959.2217569351196
17,0.01117957693255149,95.01530979827089,0.008234074941042255,94.21686746987952,98.11943425877423,0.0008228139257794012,666.2901141643524
18,0.01079640041040372,95.58431408606106,0.008074680301930188,94.61498166579361,98.17181770560502,0.0007965898723646776,685.0198969841003
19,0.010760904690784421,95.91615468015901,0.00810672285174093,94.80880041906758,98.15610267155579,0.0007690411765816864,1085.90740442276
20,0.010566131158032423,96.24726576740795,0.008023902804277202,95.26977475117863,98.4180199057098,0.0007402908775933419,6193.229756116867
21,0.010682462951499994,95.90502106741573,0.007996787273417067,95.89837611314825,98.60660031430068,0.0007104673812141675,1184.2315952777863
